,available,compare_at_price,created_at,featured_image,grams,id,option1,option2,option3,position,price,product_id,requires_shipping,sku,taxable,title,updated_at,parent_id,parent_title,vendor
0,True,,2022-12-08T13:12:33-05:00,,29,42370204926129,XS,Babe,Single,1,38.00,7392507297969,True,NK-108-35C-0,True,XS / Babe / Single,2022-12-25T12:53:46-05:00,7392507297969,Whipped Boy Short in Babe,Negative Underwear
1,True,,2022-12-08T13:12:33-05:00,,29,42370204958897,S,Babe,Single,2,38.00,7392507297969,True,NK-108-35C-1,True,S / Babe / Single,2022-12-26T15:17:36-05:00,7392507297969,Whipped Boy Short in Babe,Negative Underwear
2,True,,2022-12-08T13:12:33-05:00,,29,42370204991665,M,Babe,Single,3,38.00,7392507297969,True,NK-108-35C-2,True,M / Babe / Single,2022-12-26T21:33:20-05:00,7392507297969,Whipped Boy Short in Babe,Negative Underwear
3,True,,2022-12-08T13:12:33-05:00,,29,42370205024433,L,Babe,Single,4,38.00,7392507297969,True,NK-108-35C-3,True,L / Babe / Single,2022-12-26T17:46:00-05:00,7392507297969,Whipped Boy Short in Babe,Negative Underwear
4,True,,2022-12-08T13:12:33-05:00,,29,42370205057201,XL,Babe,Single,5,38.00,7392507297969,True,NK-108-35C-4,True,XL / Babe / Single,2022-12-23T01:46:11-05:00,7392507297969,Whipped Boy Short in Babe,Negative Underwear
5,True,,2022-12-08T13:12:33-05:00,,29,42370205089969,XXL,Babe,Single,6,38.00,7392507297969,True,NK-108-35C-5,True,XXL / Babe / Single,2022-12-16T02:00:45-05:00,7392507297969,Whipped Boy Short in Babe,Negative Underwear
6,True,,2022-11-10T14:36:04-05:00,,150,42311435550897,XS,Lilac,Single,1,102.00,7375855550641,True,NK-212-81S2-0,True,XS / Lilac / Single,2022-12-23T16:46:10-05:00,7375855550641,Eclipse Silk Boxer in Lilac,Negative Underwear
7,True,,2022-11-10T14:36:04-05:00,,150,42311435583665,S,Lilac,Single,2,102.00,7375855550641,True,NK-212-81S2-1,True,S / Lilac / Single,2022-12-26T09:05:02-05:00,7375855550641,Eclipse Silk Boxer in Lilac,Negative Underwear
8,True,,2022-11-10T14:36:04-05:00,,150,42311435616433,M,Lilac,Single,3,102.00,7375855550641,True,NK-212-81S2-2,True,M / Lilac / Single,2022-12-26T22:53:41-05:00,7375855550641,Eclipse Silk Boxer in Lilac,Negative Underwear
9,True,,2022-11-10T14:36:04-05:00,,150,42311435649201,L,Lilac,Single,4,102.00,7375855550641,True,NK-212-81S2-3,True,L / Lilac / Single,2022-12-26T18:46:50-05:00,7375855550641,Eclipse Silk Boxer in Lilac,Negative Underwear
10,True,,2022-11-10T14:36:04-05:00,,150,42311435681969,XL,Lilac,Single,5,102.00,7375855550641,True,NK-212-81S2-4,True,XL / Lilac / Single,2022-12-23T11:48:06-05:00,7375855550641,Eclipse Silk Boxer in Lilac,Negative Underwear
11,True,,2022-11-10T14:36:04-05:00,,150,42311435714737,XXL,Lilac,Single,6,102.00,7375855550641,True,NK-212-81S2-5,True,XXL / Lilac / Single,2022-12-15T13:04:44-05:00,7375855550641,Eclipse Silk Boxer in Lilac,Negative Underwear
12,True,,2022-11-10T14:36:03-05:00,,200,42311435354289,XS,Lilac,Single,1,119.00,7375855517873,True,NK-212-81H3-0,True,XS / Lilac / Single,2022-12-23T16:46:11-05:00,7375855517873,Eclipse Silk Deep V-Top in Lilac,Negative Underwear
13,True,,2022-11-10T14:36:03-05:00,,200,42311435387057,S,Lilac,Single,2,119.00,7375855517873,True,NK-212-81H3-1,True,S / Lilac / Single,2022-12-26T09:05:04-05:00,7375855517873,Eclipse Silk Deep V-Top in Lilac,Negative Underwear
14,True,,2022-11-10T14:36:03-05:00,,200,42311435419825,M,Lilac,Single,3,119.00,7375855517873,True,NK-212-81H3-2,True,M / Lilac / Single,2022-12-26T22:53:40-05:00,7375855517873,Eclipse Silk Deep V-Top in Lilac,Negative Underwear
15,True,,2022-11-10T14:36:03-05:00,,200,42311435452593,L,Lilac,Single,4,119.00,7375855517873,True,NK-212-81H3-3,True,L / Lilac / Single,2022-12-26T18:46:51-05:00,7375855517873,Eclipse Silk Deep V-Top in Lilac,Negative Underwear
16,True,,2022-11-10T14:36:03-05:00,,200,42311435485361,XL,Lilac,Single,5,119.00,7375855517873,True,NK-212-81H3-4,True,XL / Lilac / Single,2022-12-26T13:26:04-05:00,7375855517873,Eclipse Silk Deep V-Top in Lilac,Negative Underwear
17,True,,2022-11-10T14:36:03-05:00,,200,42311435518129,XXL,Lilac,Single,6,119.00,7375855517873,True,NK-212-81H3-5,True,XXL / Lilac / Single,2022-12-15T13:05:00-05:00,7375855517873,Eclipse Silk Deep V-Top in Lilac,Negative Underwear
18,True,,2022-11-10T14:36:02-05:00,,150,42311435157681,XS,Graphite,Single,1,102.00,7375855485105,True,NK-212-11S2-0,True,XS / Graphite / Single,2022-12-22T20:01:10-05:00,7375855485105,Eclipse Silk Boxer in Graphite,Negative Underwear
19,True,,2022-11-10T14:36:02-05:00,,150,42311435190449,S,Graphite,Single,2,102.00,7375855485105,True,NK-212-11S2-1,True,S / Graphite / Single,2022-12-26T14:47:19-05:00,7375855485105,Eclipse Silk Boxer in Graphite,Negative Underwear
20,True,,2022-11-10T14:36:02-05:00,,150,42311435223217,M,Graphite,Single,3,102.00,7375855485105,True,NK-212-11S2-2,True,M / Graphite / Single,2022-12-26T22:53:40-05:00,7375855485105,Eclipse Silk Boxer in Graphite,Negative Underwear
21,True,,2022-11-10T14:36:02-05:00,,150,42311435255985,L,Graphite,Single,4,102.00,7375855485105,True,NK-212-11S2-3,True,L / Graphite / Single,2022-12-25T14:35:37-05:00,7375855485105,Eclipse Silk Boxer in Graphite,Negative Underwear
22,True,,2022-11-10T14:36:02-05:00,,150,42311435288753,XL,Graphite,Single,5,102.00,7375855485105,True,NK-212-11S2-4,True,XL / Graphite / Single,2022-12-17T14:48:25-05:00,7375855485105,Eclipse Silk Boxer in Graphite,Negative Underwear
